Member Group,Email,Website,City,State
Alliance for Water Justice in Palestine,waterjusticeinpalestine@gmail.com,waterjusticeinpalestine.com,Jamaica Plain,MA
"Watertown Citizens for Peace, Justice and the Environment",watertowncitizens@gmail.com,http://www.watertowncitizens.org,Watertown,MA
WESPAC Foundation,wespacfoundation@gmail.com,http://www.wespac.org,White Plains,NY
Red Wing Alliance for Peace,whabedank@yahoo.com,,Red Wing,MN
Pax Christi Maine,william.slavick@maine.edu,http://www.paxchristimaine.org/,Portland,ME
"Women's International League for Peace and Freedom- Triangle, NC",wilpfmail@gmail.com,http://www.trianglewilpf.org,Chapel Hill,NC
Minnesota Peace Project,write2us@minnesotapeaceproject.org,http://minnesotapeaceproject.org,Saint Paul,MN
WRITE! for Justice,writealert@yahoo.com,,Vienna,VA
War Resisters League,wrl@warresisters.org,http://www.warresisters.org/,New York,NY
Jewish Voice for Peace- University of Arizona,,,Tucson,AZ
Americans for a Just Peace in the Middle East,,,Santa Barbara,CA
International Jewish Anti-Zionist Network,,http://www.ijan.org/,Oakland,CA
National Lawyers Guild,,http://www.nlginternational.org,Inverness,CA
San Diego BDS,,http://bdssandiego.org/,San Diego,CA
"Women's International League for Peace & Freedom, Santa Cruz",,,Santa Cruz,CA
Friends of Sabeel- Colorado,,http://www.sabeelcolorado.org/,Denver,CO
Interfaith Peace-Builders,,http://www.ifpb.org,Washington,DC
Emory Students for Justice in Palestine,,,Atlanta,GA
Iowa People for Justice in Palestine,,http://www.iowapjp.org/,,IA
Women's International League for Peace and Freedom- USA,,http://www.wilpfus.org/,Des Moines,IA
Chicago Faith Coalition on Middle East Policy,,http://www.chicagofaithcoalition.org/,Chicago,IL
Christian Peacemaker Teams (CPT),,http://www.cpt.org,Chicago,IL
Northern Illinois End the Occupation Organization,,,Naperville,IL
Christians for Peace and Justice in the Middle East,,,Indianapolis,IN
Fellowship of Reconciliation - Louisville Chapter,,http://louisvillefor.org/,Louisville,KY
Downeast BDS Coalition,,,Belfast,ME
Palestine Office,,,Dearborn,MI
Just Peace for Israel/Palestine,,,Asheville,NC
Women in Black - Santa Fe,,,Albuquerque,NM
The Riverside Church Israel Palestine Task Force,,,New York,NY
Women in Black Union Square,,,New York,NY
Interfaith Council for Peace in the Middle East,,,Wooster,OH
Tiffin Area Pax Christi,,,Tiffin,OH
Justice First Foundation,,,West Kingston,RI
Tennessee Campaign for Palestinian Rights,,,Knoxville,TN
Interfaith Community for Palestinian Rights,,http://www.icpr-austin.org/,Austin,TX
"North Texas Boycott, Divest, and Sanction of Israel Campaign",,http://northtexasbds.wordpress.com/,Fort Worth,TX
Palestinians for Peace and Democracy,,http://www.p4pd.org,Stafford,TX
William & Mary Students for Justice in Palestine,,,Williamsburg,VA
Episcopal Bishop's Committee for Israel/Palestine,,http://www.ecww.org/,Seattle,WA
"Tacoma People for Peace, Justice & Healing",,http://www.tacomapjh.org/,Tacoma,WA
Students for Justice in Palestine- UW Madison,,https://www.facebook.com/SJPatUW/,Madison,WI
